date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:17:50	85/85	---M-Z	200	added ('OK')	text/plain	etag:%224f-5b0fe1a66ee54-gzip%22	https://www.transcanin.fr/robots.txt		(from )
00:17:50	42497/42497	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2023:19:33%20GMT	https://www.transcanin.fr/	E:/jov/www.transcanin.fr/index.html	(from )
00:17:53	1225/1225	---M--	200	added ('OK')	image/png	etag:%224c9-56794f2d4842e%22	https://www.transcanin.fr/images/favicon.png	E:/jov/www.transcanin.fr/images/favicon.png	(from https://www.transcanin.fr/)
00:17:56	15157/15157	---M--	200	added ('OK')	image/png	etag:%223b35-56794f2b9d80e%22	https://www.transcanin.fr/images/apple-touch-icon-57x57.png	E:/jov/www.transcanin.fr/images/apple-touch-icon-57x57.png	(from https://www.transcanin.fr/)
00:17:59	15279/15279	---M--	200	added ('OK')	image/png	etag:%223baf-56794f2bd71ee%22	https://www.transcanin.fr/images/apple-touch-icon-72x72.png	E:/jov/www.transcanin.fr/images/apple-touch-icon-72x72.png	(from https://www.transcanin.fr/)
00:18:01	15220/15220	---M--	200	added ('OK')	image/png	etag:%223b74-56794f2b7382e%22	https://www.transcanin.fr/images/apple-touch-icon-114x114.png	E:/jov/www.transcanin.fr/images/apple-touch-icon-114x114.png	(from https://www.transcanin.fr/)
00:18:03	71089/71089	---M-Z	200	added ('OK')	text/css	etag:%22115b1-56794f193a78e-gzip%22	https://www.transcanin.fr/css/animate.css	E:/jov/www.transcanin.fr/css/animate.css	(from https://www.transcanin.fr/)
00:18:05	117305/117305	---M-Z	200	added ('OK')	text/css	etag:%221ca39-56794f19ca06e-gzip%22	https://www.transcanin.fr/css/bootstrap.min.css	E:/jov/www.transcanin.fr/css/bootstrap.min.css	(from https://www.transcanin.fr/)
00:18:14	7069/7069	---M-Z	200	added ('OK')	text/css	etag:%221b9d-56794f199c20e-gzip%22	https://www.transcanin.fr/css/et-line-icons.css	E:/jov/www.transcanin.fr/css/et-line-icons.css	(from https://www.transcanin.fr/)
00:18:17	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%225cbb-56794f1a1920e-gzip%22	https://www.transcanin.fr/css/font-awesome.min.css	E:/jov/www.transcanin.fr/css/font-awesome.min.css	(from https://www.transcanin.fr/)
00:18:24	4465/4465	---M-Z	200	added ('OK')	text/css	etag:%221171-56794f1a79cee-gzip%22	https://www.transcanin.fr/css/owl.transitions.css	E:/jov/www.transcanin.fr/css/owl.transitions.css	(from https://www.transcanin.fr/)
00:18:28	1702/1702	---M-Z	200	added ('OK')	text/css	etag:%226a6-56794f1a5994e-gzip%22	https://www.transcanin.fr/css/owl.carousel.css	E:/jov/www.transcanin.fr/css/owl.carousel.css	(from https://www.transcanin.fr/)
00:18:33	13812/13812	---M-Z	200	added ('OK')	text/css	etag:%2235f4-56794f1a3860e-gzip%22	https://www.transcanin.fr/css/magnific-popup.css	E:/jov/www.transcanin.fr/css/magnific-popup.css	(from https://www.transcanin.fr/)
00:18:39	106397/106397	---M-Z	200	added ('OK')	text/css	etag:%2219f9d-56794f1c97cce-gzip%22	https://www.transcanin.fr/css/style.css	E:/jov/www.transcanin.fr/css/style.css	(from https://www.transcanin.fr/)
00:18:57	55022/55022	---M-Z	200	added ('OK')	text/css	etag:%22d6ee-56794f1c18d8e-gzip%22	https://www.transcanin.fr/css/responsive.css	E:/jov/www.transcanin.fr/css/responsive.css	(from https://www.transcanin.fr/)
00:19:02	3249/3249	---M--	200	added ('OK')	image/png	etag:%22cb1-567a46923604f%22	https://www.transcanin.fr/images/logo-agency.png	E:/jov/www.transcanin.fr/images/logo-agency.png	(from https://www.transcanin.fr/)
00:19:11	95895/95895	---M--	200	added ('OK')	image/jpeg	etag:%2217697-56794f54b314f%22	https://www.transcanin.fr/images/transport_chien_chat/transcanin-1920x960-3.jpg	E:/jov/www.transcanin.fr/images/transport_chien_chat/transcanin-1920x960-3.jpg	(from https://www.transcanin.fr/)
00:19:12	85485/85485	---M--	200	added ('OK')	image/jpeg	etag:%2214ded-56794f506b60f%22	https://www.transcanin.fr/images/transcanin-1920x950-.jpg	E:/jov/www.transcanin.fr/images/transcanin-1920x950-.jpg	(from https://www.transcanin.fr/)
00:19:12	52086/52086	---M--	200	added ('OK')	image/jpeg	etag:%22cb76-567a467e4d56f%22	https://www.transcanin.fr/data/galerie/12/4.jpg	E:/jov/www.transcanin.fr/data/galerie/12/4.jpg	(from https://www.transcanin.fr/)
00:19:13	33176/33176	---M--	200	added ('OK')	image/jpeg	etag:%228198-567a467e9694f%22	https://www.transcanin.fr/data/galerie/13/5.jpg	E:/jov/www.transcanin.fr/data/galerie/13/5.jpg	(from https://www.transcanin.fr/)
00:19:13	56212/56212	---M--	200	added ('OK')	image/jpeg	etag:%22db94-567a467fcf14f%22	https://www.transcanin.fr/data/galerie/14/6.jpg	E:/jov/www.transcanin.fr/data/galerie/14/6.jpg	(from https://www.transcanin.fr/)
00:19:14	23698/23698	---M--	200	added ('OK')	image/jpeg	etag:%225c92-567a467fe878f%22	https://www.transcanin.fr/data/galerie/15/7.jpg	E:/jov/www.transcanin.fr/data/galerie/15/7.jpg	(from https://www.transcanin.fr/)
00:19:14	21668/21668	---M--	200	added ('OK')	image/jpeg	etag:%2254a4-567a468083bef%22	https://www.transcanin.fr/data/galerie/16/8.jpg	E:/jov/www.transcanin.fr/data/galerie/16/8.jpg	(from https://www.transcanin.fr/)
00:19:15	43594/43594	---M--	200	added ('OK')	image/jpeg	etag:%22aa4a-567a46818c64f%22	https://www.transcanin.fr/data/galerie/17/9.jpg	E:/jov/www.transcanin.fr/data/galerie/17/9.jpg	(from https://www.transcanin.fr/)
